"","fut","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"241",2041-08-29,0,0,0,0,0,0,0.2,0.3,0,0
"242",2041-08-30,0,0,0,0,0.1,0,0,0,0.9,0.6
"243",2041-08-31,0,0,0,0.5,0,0,0,0,1.26666666666667,0
"244",2041-09-01,1.8,0,0,6.3,34.5529185022027,0,14.62,0,0,0
"245",2041-09-02,0,0,0,0.1,0.3,0,37.7296948356807,0,0,0.1
"246",2041-09-03,0.3,0.1,0,14.2,0,0,2.9,0,0,0.1
"247",2041-09-04,5.44,0,0,0,0,0,0,0,0,0.8
"248",2041-09-05,0.9,0.4,0,5.9,0,0,0,0,0,0
"249",2041-09-06,0,0.6,0,0,0,0,0,0,0,0
"250",2041-09-07,14.812676056338,11.1,9.85,0,0,1.5,0.166666666666606,0.75,0,0
"251",2041-09-08,0,0,1.2,0,46.1049250220524,9,4,0,0,0.55
"252",2041-09-09,0,0,23.45,0,14.3,11.6444444444444,0.166666666666606,0,0,0
"253",2041-09-10,0.7,7.42,0,9.07777777777778,3.1,0,0,0,0,0
"254",2041-09-11,4.6,10.6,13.2,2.1,0,11.7222222222222,0,0,0,0
"255",2041-09-12,0,0,8.31666666666667,0,0,0,0,0.75,0,0
"256",2041-09-13,0,0,0,0,0,0,0,0,0,0
"257",2041-09-14,0,3.7,0,0,0,0,0,0,2.5,4.93333333333333
"258",2041-09-15,0,0.0666666666666667,0,1.3,0,0,0,0,0.5,0.8
"259",2041-09-16,0,0,3.6,14.9,0.95,0,0,1.7,0,0
"260",2041-09-17,0,0,0,0,0,0,0,14.74,0.6,6.675
"261",2041-09-18,0,0,0,3.1,1.2,0,0,0,0,0
"262",2041-09-19,0,0,0,0,0.95,0,0,0,20.1842105263158,16.55
"263",2041-09-20,0,0,0,0,0,0,0,13.768,10.4142857142857,0
"264",2041-09-21,0,0,0,0,0,0,0,0,0,0.1
"265",2041-09-22,0,0.1,0,4.5,0,0,0,0,0,0
"266",2041-09-23,36.3808524173028,8.3,0,0.116666666666606,0,0,0.9,0,0,0
"267",2041-09-24,27.0975,52.3957506613756,0,17.3,0,0,14.86,0,0,0
"268",2041-09-25,0.95,20.4441624365482,0,3.98000000000007,0,0,0.75,0,0,0
"269",2041-09-26,4.1,0.0666666666666667,0,0,0,4.175,4.8,0,0,0.166666666666606
"270",2041-09-27,0,1.5,0,0,0,11.7222222222222,0,0,1.8,0.9
"271",2041-09-28,0.8,19.9324873096446,0,0,0,0.2,6.8,0,0,0.2
"272",2041-09-29,0,21.3666666666667,0,0,4.7,0,0,0,0,0
"273",2041-09-30,0,2,0,0,0.1,0,0,1.8,0,0
"274",2041-10-01,0,0,43.4351396478445,13.9,2.9,37.6746532156368,0,3.6,5.66,9.8
"275",2041-10-02,1.2,0.166666666666606,11.8,0,0,3.9,0.166666666666606,0.25,0.166666666666606,1.9
"276",2041-10-03,4.5,7.42,0.116666666666606,0.116666666666606,0.5,0,0,0,0,0
"277",2041-10-04,0,11,7.9,0,0.55,0.1,0,0,0,0
"278",2041-10-05,0,0,0,13.5333333333333,0,18.7333333333333,0,0,1.6,0.5
"279",2041-10-06,0,0,0,0,0,0,0,0.166666666666606,2.9,20.21
"280",2041-10-07,2.7,0.9,0,0,0,0,1.9,16.6307692307692,2.1,0.95
"281",2041-10-08,21.1545454545455,14.2272727272727,0,0,0,0,6.55,0,0,0.4
"282",2041-10-09,0.6,0,0.9,1.2,0,6.1,31.3660377358491,0,0,0
"283",2041-10-10,0.6,0.75,0,0,0.6,0,18.7,8.4,0.6,3
"284",2041-10-11,1.1,0,0,1,0.1,0,1.7,1.7,0.1,3.35
"285",2041-10-12,0,0.95,0.7,4.4,0,0,0.75,23.7840707964602,0,0
"286",2041-10-13,0,0,0.95,0.9,0,2.8,32.3830188679245,2,5.3,5.275
"287",2041-10-14,5.8,5.5,19.7260869565217,5.74,0,22.4,0,24.2265486725664,0.3,2.3
"288",2041-10-15,6.1,1.4,3.4,6.3,0,9.3,7.175,8,0.7,5.82
"289",2041-10-16,7.98333333333333,0,6.675,2.7,0,0,15.5714285714286,0,0,11.1
"290",2041-10-17,0,0,0,7.78,1.5,13.35,26.9846938775511,0,10.7571428571429,1
"291",2041-10-18,0,0,27.4415094339623,8.23333333333333,2.75,7.5,3.7,1.4,0.3,1.4
