Date,CNRMCCLM,CNRMRCA,ECEARTHCCLM,ECEARTHHIRHAM,ECEARTHRACMO,ECEARTHRCA,HADGEMRCA,IPSLRCA,MPICCLM,MPIRCA
1971-08-02,0.2,11.9,2.2,1.9,21.7,0.1,29.7,9.1,0.0,0.0
1971-08-03,11.1,0.1,0.1,2.5,5.0,14.8,12.8,0.8,1.6,0.0
1971-08-04,10.6,0.4,0.1,6.9,3.6,0.0,1.1,3.1,0.1,0.1
1971-08-05,23.8,51.7,0.1,13.0,0.1,0.0,0.1,18.7,0.0,0.2
1971-08-06,29.5,1.1,22.8,32.9,0.0,0.1,18.3,0.2,0.0,0.0
1971-08-07,24.5,4.6,24.7,0.1,0.0,0.1,28.4,21.5,0.3,22.6
1971-08-08,23.6,0.4,14.5,0.9,0.0,28.1,10.4,17.6,0.0,8.1
1971-08-09,17.1,1.6,0.1,0.1,0.0,12.1,7.5,13.5,0.0,0.1
1971-08-10,7.7,24.7,7.9,0.1,0.6,0.3,36.8,14.0,0.0,0.0
1971-08-11,1.9,0.4,23.0,0.1,23.5,51.0,5.9,13.0,0.0,0.0
1971-08-12,5.4,0.0,0.1,0.1,0.2,27.3,0.1,50.2,0.0,0.0
1971-08-13,12.7,1.0,1.7,2.2,28.3,0.2,0.1,0.0,0.0,0.0
1971-08-14,3.6,9.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1
1971-08-15,0.1,0.5,0.1,9.6,2.0,0.0,0.1,0.1,0.0,2.4
1971-08-16,4.0,0.1,0.2,29.9,31.2,0.0,0.1,4.4,0.0,0.1
1971-08-17,1.3,0.0,1.0,1.7,13.8,0.2,0.1,2.0,2.0,0.0
1971-08-18,0.8,0.0,0.4,0.2,3.1,0.1,0.1,0.1,3.6,0.1
1971-08-19,0.2,0.0,6.2,55.0,13.1,24.3,0.1,0.1,2.0,7.2
1971-08-20,0.1,0.0,3.1,10.6,11.4,3.5,0.1,0.0,0.2,0.1
1971-08-21,1.0,0.3,0.2,0.1,13.8,1.3,0.1,0.0,0.1,0.0
1971-08-22,16.1,0.2,62.4,0.4,1.0,47.1,0.1,0.0,0.0,0.0
1971-08-23,0.2,0.1,0.2,27.7,0.1,2.1,0.1,0.0,0.0,0.0
1971-08-24,0.1,0.2,0.1,0.1,4.1,19.2,0.1,0.0,0.8,0.8
1971-08-25,5.5,4.0,11.9,20.1,2.0,9.9,0.1,4.2,3.2,9.8
1971-08-26,0.3,0.1,4.3,0.1,26.5,0.2,0.1,23.6,0.0,0.1
1971-08-27,3.1,0.1,0.1,0.1,2.3,7.8,1.9,5.0,0.0,0.0
1971-08-28,5.2,0.0,0.1,0.3,2.4,0.2,0.1,25.4,0.0,0.1
1971-08-29,0.1,0.1,20.3,0.9,7.7,8.4,0.1,0.8,0.1,0.2
1971-08-30,3.3,22.5,1.1,0.1,23.5,0.9,5.4,0.1,1.5,5.5
1971-08-31,13.5,32.7,0.1,0.1,28.2,3.9,5.4,0.1,1.5,2.3
1971-09-01,29.2,0.6,0.1,0.2,27.5,0.3,2.9,16.0,13.9,18.1
1971-09-02,0.1,0.1,0.3,0.1,19.2,10.7,8.0,0.1,0.1,0.1
1971-09-03,0.1,0.1,17.2,0.1,1.6,15.1,0.1,0.1,0.1,0.3
1971-09-04,0.1,0.1,10.6,0.1,13.8,12.2,0.1,0.3,1.5,0.1
1971-09-05,0.1,0.1,21.3,0.7,0.0,28.3,5.6,18.2,0.1,0.1
1971-09-06,8.9,17.8,0.1,0.8,0.2,2.6,19.3,0.1,18.6,9.8
1971-09-07,32.0,5.9,25.3,0.3,3.6,24.5,0.9,1.7,0.6,2.0
1971-09-08,24.4,8.8,4.4,1.5,3.8,4.8,1.0,7.2,17.6,21.8
1971-09-09,5.5,25.6,0.1,34.8,30.6,0.1,6.0,0.1,16.6,1.1
1971-09-10,38.7,6.9,0.2,19.4,55.8,3.5,10.7,3.0,11.1,0.1
1971-09-11,0.1,19.7,1.1,7.5,0.1,0.3,0.3,11.2,5.1,0.1
1971-09-12,1.0,0.1,1.1,14.0,11.5,7.5,0.1,13.0,0.3,4.4
1971-09-13,0.1,0.1,0.1,9.4,1.0,0.4,0.1,65.2,1.1,2.0
1971-09-14,0.1,0.1,0.1,10.1,0.3,0.7,0.1,1.5,0.2,0.1
