Date	Baseline	corre_cnrmcclm
2074-03-29	144.677	83.567
2074-03-30	142.534	71.825
2074-03-31	140.045	65.667
2074-04-01	131.494	58.215
2074-04-02	122.336	49.096
2074-04-03	111.698	41.17
2074-04-04	104.136	35.22
2074-04-05	95.291	31.266
2074-04-06	93.522	26.864
2074-04-07	87.312	23.849
2074-04-08	80.986	21.902
2074-04-09	77.147	20.083
2074-04-10	80.686	17.846
2074-04-11	80.088	15.431
2074-04-12	77.396	12.649
2074-04-13	74.164	10.935
2074-04-14	68.244	9.53
2074-04-15	61.592	8.259
2074-04-16	56.903	7.753
2074-04-17	53.668	7.292
2074-04-18	51.458	6.409
2074-04-19	49.95	5.343
2074-04-20	47.167	4.503
2074-04-21	44.68	4.304
2074-04-22	40.974	4.304
2074-04-23	37.223	4.264
2074-04-24	33.19	4.264
2074-04-25	28.968	4.164
2074-04-26	26.805	3.722
2074-04-27	25.324	3.313
2074-04-28	25.127	2.735
2074-04-29	23.9	2.146
2074-04-30	22.455	1.748
2074-05-01	21.114	1.424
2074-05-02	19.668	0.997
2074-05-03	18.116	0.715
2074-05-04	16.921	0.365
2074-05-05	15.388	0.154
2074-05-06	13.453	0.019
2074-05-07	11.8	0
2074-05-08	10.385	0
2074-05-09	8.954	0
2074-05-10	7.404	0
2074-05-11	5.975	0
2074-05-12	4.457	0
2074-05-13	3.626	0
2074-05-14	2.986	0
2074-05-15	2.282	0
2074-05-16	1.659	0
2074-05-17	1.242	0
2074-05-18	0.782	0
2074-05-19	0.401	0
2074-05-20	0.167	0
2074-05-21	0.019	0
2074-05-22	0	0
2074-05-23	0	0
2074-05-24	0	0
2074-05-25	0	0
2074-05-26	0	0
2074-05-27	0	0
2074-05-28	0	0
2074-05-29	0	0
2074-05-30	0	0
2074-05-31	0	0
2074-06-01	0	0
2074-06-02	0	0
2074-06-03	0	0
2074-06-04	0	0
2074-06-05	0	0
2074-06-06	0	0
2074-06-07	0	0
2074-06-08	0	0
2074-06-09	0	0
2074-06-10	0	0
2074-06-11	0	0
2074-06-12	0	0
2074-06-13	0	0
2074-06-14	0	0
2074-06-15	0	0
2074-06-16	0	0
2074-06-17	0	0
2074-06-18	0	0
2074-06-19	0	0
2074-06-20	0	0
2074-06-21	0	0
2074-06-22	0	0
2074-06-23	0	0
2074-06-24	0	0
2074-06-25	0	0
2074-06-26	0	0
2074-06-27	0	0
2074-06-28	0	0
2074-06-29	0	0
2074-06-30	0	0
2074-07-01	0	0
2074-07-02	0	0
2074-07-03	0	0
2074-07-04	0	0
2074-07-05	0	0
2074-07-06	0	0
2074-07-07	0	0
2074-07-08	0	0
2074-07-09	0	0
2074-07-10	0	0
2074-07-11	0	0
2074-07-12	0	0
2074-07-13	0	0
2074-07-14	0	0
2074-07-15	0	0
2074-07-16	0	0
2074-07-17	0	0
2074-07-18	0	0
2074-07-19	0	0
2074-07-20	0	0
2074-07-21	0	0
2074-07-22	0	0
2074-07-23	0	0
2074-07-24	0	0
2074-07-25	0	0
2074-07-26	0	0
2074-07-27	0	0
2074-07-28	0	0
2074-07-29	0	0
2074-07-30	0	0
2074-07-31	0	0
2074-08-01	0	0
2074-08-02	0	0
2074-08-03	0	0
2074-08-04	0	0
2074-08-05	0	0
2074-08-06	0	0
2074-08-07	0	0
2074-08-08	0	0
2074-08-09	0	0
2074-08-10	0	0
2074-08-11	0	0
2074-08-12	0	0
2074-08-13	0	0
2074-08-14	0	0
2074-08-15	0	0
2074-08-16	0	0
2074-08-17	0	0
2074-08-18	0	0
2074-08-19	0	0
2074-08-20	0	0
2074-08-21	0	0
2074-08-22	0	0
2074-08-23	0	0
