"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5282",1971-06-18,8.708,11.992,9.815,9.732,10.679,10.385,10.292,12.426,8.851,9.501
"5283",1971-06-19,8.908,12.192,10.015,9.932,10.879,10.585,10.492,12.626,9.051,9.701
"5284",1971-06-20,10.408,13.692,11.515,11.432,12.379,12.085,11.992,14.126,10.551,11.201
"5285",1971-06-21,10.008,13.292,11.115,11.032,11.979,11.685,11.592,13.726,10.151,10.801
"5286",1971-06-22,9.608,12.892,10.715,10.632,11.579,11.285,11.192,13.326,9.751,10.401
"5287",1971-06-23,10.708,13.992,11.815,11.732,12.679,12.385,12.292,14.426,10.851,11.501
"5288",1971-06-24,13.408,16.692,14.515,14.432,15.379,15.085,14.992,17.126,13.551,14.201
"5289",1971-06-25,12.308,15.592,13.415,13.332,14.279,13.985,13.892,16.026,12.451,13.101
"5290",1971-06-26,13.308,16.592,14.415,14.332,15.279,14.985,14.892,17.026,13.451,14.101
"5291",1971-06-27,13.008,16.292,14.115,14.032,14.979,14.685,14.592,16.726,13.151,13.801
"5292",1971-06-28,13.308,16.592,14.415,14.332,15.279,14.985,14.892,17.026,13.451,14.101
"5293",1971-06-29,11.908,15.192,13.015,12.932,13.879,13.585,13.492,15.626,12.051,12.701
"5294",1971-06-30,12.808,16.092,13.915,13.832,14.779,14.485,14.392,16.526,12.951,13.601
"5295",1971-07-01,15.949,16.628,17.314,16.357,16.441,16.98,17.4,17.491,15.86,16.248
"5296",1971-07-02,18.249,18.928,19.614,18.657,18.741,19.28,19.7,19.791,18.16,18.548
"5297",1971-07-03,20.149,20.828,21.514,20.557,20.641,21.18,21.6,21.691,20.06,20.448
"5298",1971-07-04,20.549,21.228,21.914,20.957,21.041,21.58,22,22.091,20.46,20.848
"5299",1971-07-05,20.249,20.928,21.614,20.657,20.741,21.28,21.7,21.791,20.16,20.548
"5300",1971-07-06,19.349,20.028,20.714,19.757,19.841,20.38,20.8,20.891,19.26,19.648
"5301",1971-07-07,17.849,18.528,19.214,18.257,18.341,18.88,19.3,19.391,17.76,18.148
"5302",1971-07-08,20.049,20.728,21.414,20.457,20.541,21.08,21.5,21.591,19.96,20.348
"5303",1971-07-09,21.049,21.728,22.414,21.457,21.541,22.08,22.5,22.591,20.96,21.348
"5304",1971-07-10,19.349,20.028,20.714,19.757,19.841,20.38,20.8,20.891,19.26,19.648
"5305",1971-07-11,18.149,18.828,19.514,18.557,18.641,19.18,19.6,19.691,18.06,18.448
"5306",1971-07-12,16.449,17.128,17.814,16.857,16.941,17.48,17.9,17.991,16.36,16.748
"5307",1971-07-13,14.049,14.728,15.414,14.457,14.541,15.08,15.5,15.591,13.96,14.348
"5308",1971-07-14,13.449,14.128,14.814,13.857,13.941,14.48,14.9,14.991,13.36,13.748
"5309",1971-07-15,13.149,13.828,14.514,13.557,13.641,14.18,14.6,14.691,13.06,13.448
"5310",1971-07-16,12.249,12.928,13.614,12.657,12.741,13.28,13.7,13.791,12.16,12.548
"5311",1971-07-17,11.449,12.128,12.814,11.857,11.941,12.48,12.9,12.991,11.36,11.748
"5312",1971-07-18,14.749,15.428,16.114,15.157,15.241,15.78,16.2,16.291,14.66,15.048
"5313",1971-07-19,14.049,14.728,15.414,14.457,14.541,15.08,15.5,15.591,13.96,14.348
"5314",1971-07-20,13.649,14.328,15.014,14.057,14.141,14.68,15.1,15.191,13.56,13.948
"5315",1971-07-21,12.149,12.828,13.514,12.557,12.641,13.18,13.6,13.691,12.06,12.448
"5316",1971-07-22,11.349,12.028,12.714,11.757,11.841,12.38,12.8,12.891,11.26,11.648
"5317",1971-07-23,10.749,11.428,12.114,11.157,11.241,11.78,12.2,12.291,10.66,11.048
"5318",1971-07-24,12.949,13.628,14.314,13.357,13.441,13.98,14.4,14.491,12.86,13.248
"5319",1971-07-25,12.749,13.428,14.114,13.157,13.241,13.78,14.2,14.291,12.66,13.048
"5320",1971-07-26,14.449,15.128,15.814,14.857,14.941,15.48,15.9,15.991,14.36,14.748
"5321",1971-07-27,14.349,15.028,15.714,14.757,14.841,15.38,15.8,15.891,14.26,14.648
"5322",1971-07-28,15.649,16.328,17.014,16.057,16.141,16.68,17.1,17.191,15.56,15.948
"5323",1971-07-29,17.349,18.028,18.714,17.757,17.841,18.38,18.8,18.891,17.26,17.648
"5324",1971-07-30,18.949,19.628,20.314,19.357,19.441,19.98,20.4,20.491,18.86,19.248
"5325",1971-07-31,16.749,17.428,18.114,17.157,17.241,17.78,18.2,18.291,16.66,17.048
"5326",1971-08-01,16.635,16.719,17.254,16.615,16.215,17.02,17.639,17.298,15.94,15.979
"5327",1971-08-02,14.835,14.919,15.454,14.815,14.415,15.22,15.839,15.498,14.14,14.179
"5328",1971-08-03,16.035,16.119,16.654,16.015,15.615,16.42,17.039,16.698,15.34,15.379
