"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5396",1971-10-10,4.9128,6.6127,8.366,8.2414,8.9178,9.7633,7.4493,7.654,6.1855,7.2179
"5397",1971-10-11,3.864,5.201,6.58,6.482,7.014,7.679,5.859,6.02,4.865,5.677
"5398",1971-10-12,0,0,0,0,0,0,0,0,0,0
"5399",1971-10-13,0.276,0.3715,0.47,0.463,0.501,0.5485,0.4185,0.43,0.3475,0.4055
"5400",1971-10-14,0,0,0,0,0,0,0,0,0,0
"5401",1971-10-15,0,0,0,0,0,0,0,0,0,0
"5402",1971-10-16,2.3736,3.1949,4.042,3.9818,4.3086,4.7171,3.5991,3.698,2.9885,3.4873
"5403",1971-10-17,3.4776,4.6809,5.922,5.8338,6.3126,6.9111,5.2731,5.418,4.3785,5.1093
"5404",1971-10-18,7.1208,9.5847,12.126,11.9454,12.9258,14.1513,10.7973,11.094,8.9655,10.4619
"5405",1971-10-19,13.0272,17.5348,22.184,21.8536,23.6472,25.8892,19.7532,20.296,16.402,19.1396
"5406",1971-10-20,11.868,15.9745,20.21,19.909,21.543,23.5855,17.9955,18.49,14.9425,17.4365
"5407",1971-10-21,11.9784,16.1231,20.398,20.0942,21.7434,23.8049,18.1629,18.662,15.0815,17.5987
"5408",1971-10-22,24.1224,32.4691,41.078,40.4662,43.7874,47.9389,36.5769,37.582,30.3715,35.4407
"5409",1971-10-23,4.0848,5.4982,6.956,6.8524,7.4148,8.1178,6.1938,6.364,5.143,6.0014
"5410",1971-10-24,1.4904,2.0061,2.538,2.5002,2.7054,2.9619,2.2599,2.322,1.8765,2.1897
"5411",1971-10-25,0.0552,0.0743,0.094,0.0926,0.1002,0.1097,0.0837,0.086,0.0695,0.0811
"5412",1971-10-26,0,0,0,0,0,0,0,0,0,0
"5413",1971-10-27,0,0,0,0,0,0,0,0,0,0
"5414",1971-10-28,0,0,0,0,0,0,0,0,0,0
"5415",1971-10-29,0,0,0,0,0,0,0,0,0,0
"5416",1971-10-30,0,0,0,0,0,0,0,0,0,0
